ID,ns,score,E.C.
ID0,0,0.9999987893058836,WT-LyCov555
ID1,1,0.9944018245013388,WT-LyCov555
ID2,2,0.9935065896253092,WT-LyCov555
ID3,3,0.9895840102566956,WT-LyCov555
ID4,4,0.9686182323298056,WT-LyCov555
ID5,5,0.9795148402838356,WT-LyCov555
ID6,6,0.9797131304295524,WT-LyCov555
ID7,7,0.9722310671836354,WT-LyCov555
ID8,8,0.97885898478541,WT-LyCov555
ID9,9,0.9634026090041292,WT-LyCov555
ID10,10,0.965758755268606,WT-LyCov555
ID11,11,0.9851740151552144,WT-LyCov555
ID12,12,0.9757127842313228,WT-LyCov555
ID13,13,0.9702371686275448,WT-LyCov555
ID14,14,0.9760996047050572,WT-LyCov555
ID15,15,0.9611312523550576,WT-LyCov555
ID16,16,0.9751231602884404,WT-LyCov555
ID17,17,0.963675370912389,WT-LyCov555
ID18,18,0.9817162130219592,WT-LyCov555
ID19,19,0.9809253844661278,WT-LyCov555
ID20,20,0.980352181076428,WT-LyCov555
ID21,21,0.978008098023872,WT-LyCov555
ID22,22,0.9887460700409004,WT-LyCov555
ID23,23,0.9842610087893692,WT-LyCov555
ID24,24,0.9706275948107472,WT-LyCov555
ID25,25,0.98779074809272,WT-LyCov555
ID26,26,0.9703273735500116,WT-LyCov555
ID27,27,0.9753977418088584,WT-LyCov555
ID28,28,0.9794808385068432,WT-LyCov555
ID29,29,0.9773399356183956,WT-LyCov555
ID30,30,0.977421972539558,WT-LyCov555
ID31,31,0.9613751276229876,WT-LyCov555
ID32,32,0.97750256120404,WT-LyCov555
ID33,33,0.9542673512899166,WT-LyCov555
ID34,34,0.9683202730249678,WT-LyCov555
ID35,35,0.9676411074138912,WT-LyCov555
ID36,36,0.9670138913612484,WT-LyCov555
ID37,37,0.9546416597155852,WT-LyCov555
ID38,38,0.9529075674795529,WT-LyCov555
ID39,39,0.9448905476460112,WT-LyCov555
ID40,40,0.9447639039034909,WT-LyCov555
ID41,41,0.9625518115004008,WT-LyCov555
ID42,42,0.9300981203307698,WT-LyCov555
