ID,ns,score,E.C.
ID0,0,0.9999990882172992,WT-AZD1061
ID1,1,0.9886402785761788,WT-AZD1061
ID2,2,0.9771408803061198,WT-AZD1061
ID3,3,0.9798717968792654,WT-AZD1061
ID4,4,0.9691367658015592,WT-AZD1061
ID5,5,0.9590533684744472,WT-AZD1061
ID6,6,0.9324888079287909,WT-AZD1061
ID7,7,0.9569863721430784,WT-AZD1061
ID8,8,0.9449652832163342,WT-AZD1061
ID9,9,0.9589395584621856,WT-AZD1061
ID10,10,0.9702453373561096,WT-AZD1061
ID11,11,0.9598767447112247,WT-AZD1061
ID12,12,0.9602753145402932,WT-AZD1061
ID13,13,0.975155809778121,WT-AZD1061
ID14,14,0.9623048344938234,WT-AZD1061
ID15,15,0.9489025908627764,WT-AZD1061
ID16,16,0.965544028585762,WT-AZD1061
ID17,17,0.94929916983186,WT-AZD1061
ID18,18,0.9742465025101692,WT-AZD1061
ID19,19,0.976778643630959,WT-AZD1061
ID20,20,0.9868058397220444,WT-AZD1061
ID21,21,0.9727048520318404,WT-AZD1061
ID22,22,0.974193095414296,WT-AZD1061
ID23,23,0.9616829669966784,WT-AZD1061
ID24,24,0.9715902249651456,WT-AZD1061
ID25,25,0.9640006968160062,WT-AZD1061
ID26,26,0.9763138580507912,WT-AZD1061
ID27,27,0.9857170502537692,WT-AZD1061
ID28,28,0.9942621575268368,WT-AZD1061
ID29,29,0.9754668325152126,WT-AZD1061
ID30,30,0.9720418608973777,WT-AZD1061
ID31,31,0.9788507142336186,WT-AZD1061
ID32,32,0.9523791507095972,WT-AZD1061
ID33,33,0.9588606026570142,WT-AZD1061
ID34,34,0.9671143543698594,WT-AZD1061
ID35,35,0.9731699996080048,WT-AZD1061
ID36,36,0.967623272561538,WT-AZD1061
ID37,37,0.9758127107517433,WT-AZD1061
ID38,38,0.9812030615271788,WT-AZD1061
ID39,39,0.9657112408222116,WT-AZD1061
ID40,40,0.9445710557844808,WT-AZD1061
ID41,41,0.943565325000885,WT-AZD1061
ID42,42,0.9725279950396416,WT-AZD1061
ID43,43,0.9858693075869556,WT-AZD1061
ID44,44,0.9948341287293252,WT-AZD1061
ID45,45,0.9855525940771984,WT-AZD1061
ID46,46,0.9842966819581908,WT-AZD1061
ID47,47,0.9714671125777766,WT-AZD1061
ID48,48,0.965441363910556,WT-AZD1061
ID49,49,0.9782084586839592,WT-AZD1061
ID50,50,0.974952183645624,WT-AZD1061
ID51,51,0.9771206755964728,WT-AZD1061
ID52,52,0.9739146421998908,WT-AZD1061
ID53,53,0.9430900258710436,WT-AZD1061
ID54,54,0.985554995039696,WT-AZD1061
ID55,55,0.9702607075741728,WT-AZD1061
ID56,56,0.9537734081989336,WT-AZD1061
ID57,57,0.9710820637258162,WT-AZD1061
ID58,58,0.9870982688297631,WT-AZD1061
ID59,59,0.9526209974056228,WT-AZD1061
ID60,60,0.9843278930386388,WT-AZD1061
ID61,61,0.9681131809329478,WT-AZD1061
ID62,62,0.962933114560478,WT-AZD1061
ID63,63,0.9513690692233546,WT-AZD1061
ID64,64,0.9733626920033228,WT-AZD1061
ID65,65,0.977311893582029,WT-AZD1061
ID66,66,0.9775690069663924,WT-AZD1061
ID67,67,0.9822674721905836,WT-AZD1061
ID68,68,0.9800842388620392,WT-AZD1061
ID69,69,0.955756012852734,WT-AZD1061
ID70,70,0.9484831412488972,WT-AZD1061
ID71,71,0.9802557646419734,WT-AZD1061
ID72,72,0.9820625128313516,WT-AZD1061
ID73,73,0.9823120506614512,WT-AZD1061
ID74,74,0.9619827385111064,WT-AZD1061
ID75,75,0.9605298067885132,WT-AZD1061
ID76,76,0.965283805620786,WT-AZD1061
ID77,77,0.9722353250808003,WT-AZD1061
