ID,ns,score,E.C.
ID0,0,0.9999952043540672,WT-CTP59
ID1,1,0.988563372523824,WT-CTP59
ID2,2,0.9919193044783478,WT-CTP59
ID3,3,0.987810746948522,WT-CTP59
ID4,4,0.968648215827181,WT-CTP59
ID5,5,0.9809354002752424,WT-CTP59
ID6,6,0.9782847988731188,WT-CTP59
ID7,7,0.9376682748672112,WT-CTP59
ID8,8,0.981012515548934,WT-CTP59
ID9,9,0.9602762519101056,WT-CTP59
ID10,10,0.9193594560306776,WT-CTP59
ID11,11,0.9671536271524588,WT-CTP59
ID12,12,0.9695626147644943,WT-CTP59
ID13,13,0.9675678214919672,WT-CTP59
ID14,14,0.9820785020596444,WT-CTP59
ID15,15,0.9562979765793626,WT-CTP59
ID16,16,0.981738449374178,WT-CTP59
ID17,17,0.9611943833519608,WT-CTP59
ID18,18,0.9779822269655548,WT-CTP59
ID19,19,0.9771032769675148,WT-CTP59
ID20,20,0.959763525368527,WT-CTP59
ID21,21,0.9584800681396932,WT-CTP59
ID22,22,0.9123800390962036,WT-CTP59
ID23,23,0.9019603688521686,WT-CTP59
ID24,24,0.9495185086385384,WT-CTP59
ID25,25,0.95190204993177,WT-CTP59
ID26,26,0.9665322926970557,WT-CTP59
ID27,27,0.9333465873067568,WT-CTP59
ID28,28,0.9302728130863706,WT-CTP59
ID29,29,0.9646930467333578,WT-CTP59
ID30,30,0.9731270516196908,WT-CTP59
ID31,31,0.9198876762011976,WT-CTP59
ID32,32,0.927039044913536,WT-CTP59
ID33,33,0.9361135770775286,WT-CTP59
ID34,34,0.9512750493003624,WT-CTP59
ID35,35,0.9638768267188292,WT-CTP59
ID36,36,0.9390824464399934,WT-CTP59
ID37,37,0.929850355533658,WT-CTP59
ID38,38,0.9639889750019996,WT-CTP59
ID39,39,0.9527901875966944,WT-CTP59
ID40,40,0.931891819317058,WT-CTP59
ID41,41,0.9285862831345786,WT-CTP59
ID42,42,0.9020824693971644,WT-CTP59
ID43,43,0.930263500133558,WT-CTP59
ID44,44,0.9580794891794951,WT-CTP59
ID45,45,0.9533886934113748,WT-CTP59
ID46,46,0.9674035671711906,WT-CTP59
ID47,47,0.9378558977657936,WT-CTP59
ID48,48,0.9306950046461396,WT-CTP59
ID49,49,0.9175717940875394,WT-CTP59
ID50,50,0.9084083268669052,WT-CTP59
ID51,51,0.9305894683042776,WT-CTP59
ID52,52,0.941520680694408,WT-CTP59
ID53,53,0.913114763634848,WT-CTP59
ID54,54,0.9313084005573384,WT-CTP59
ID55,55,0.9392010633030058,WT-CTP59
ID56,56,0.9168170831570056,WT-CTP59
ID57,57,0.9480143698229816,WT-CTP59
ID58,58,0.9424985852169986,WT-CTP59
ID59,59,0.9177942192646814,WT-CTP59
ID60,60,0.8899140286316979,WT-CTP59
ID61,61,0.9235503878520398,WT-CTP59
ID62,62,0.9317802117852042,WT-CTP59
ID63,63,0.9390157325933446,WT-CTP59
ID64,64,0.8826846362338113,WT-CTP59
ID65,65,0.8942680188519816,WT-CTP59
ID66,66,0.9040568894265528,WT-CTP59
ID67,67,0.904035120892374,WT-CTP59
ID68,68,0.8826313092057866,WT-CTP59
ID69,69,0.9204078478114344,WT-CTP59
ID70,70,0.9098304923073536,WT-CTP59
ID71,71,0.8520594524192514,WT-CTP59
ID72,72,0.8952605691338339,WT-CTP59
ID73,73,0.8695370921438824,WT-CTP59
ID74,74,0.871800260417564,WT-CTP59
ID75,75,0.8577552390908219,WT-CTP59
ID76,76,0.9110357063496612,WT-CTP59
ID77,77,0.8991040671645419,WT-CTP59
ID78,78,0.8474739794368524,WT-CTP59
ID79,79,0.8769355355125139,WT-CTP59
ID80,80,0.8831128837675334,WT-CTP59
ID81,81,0.8914578015516282,WT-CTP59
ID82,82,0.8618645637131989,WT-CTP59
ID83,83,0.8545509743353819,WT-CTP59
ID84,84,0.8478023641756717,WT-CTP59
ID85,85,0.8483991898452672,WT-CTP59
ID86,86,0.8585702142975044,WT-CTP59
ID87,87,0.8369587753481639,WT-CTP59
ID88,88,0.8611006382089389,WT-CTP59
ID89,89,0.8209846890130109,WT-CTP59
ID90,90,0.844390257315336,WT-CTP59
ID91,91,0.8808480331890896,WT-CTP59
ID92,92,0.846728647226115,WT-CTP59
ID93,93,0.8639613305272807,WT-CTP59
ID94,94,0.8848652050134032,WT-CTP59
ID95,95,0.890654086350402,WT-CTP59
ID96,96,0.8806066118581283,WT-CTP59
ID97,97,0.9117052373475124,WT-CTP59
ID98,98,0.8315857545782898,WT-CTP59
ID99,99,0.882097472621998,WT-CTP59
ID100,100,0.7884915202997907,WT-CTP59
ID0,0,0.9999964914864028,ALFA-CTP59
ID1,1,0.992246075847277,ALFA-CTP59
ID2,2,0.9937026179541152,ALFA-CTP59
ID3,3,0.9869839962872176,ALFA-CTP59
ID4,4,0.9924824641485132,ALFA-CTP59
ID5,5,0.9840056832667742,ALFA-CTP59
ID6,6,0.9917024577884228,ALFA-CTP59
ID7,7,0.9834324907423404,ALFA-CTP59
ID8,8,0.9571418558077824,ALFA-CTP59
ID9,9,0.9571386321298696,ALFA-CTP59
ID10,10,0.9553548789082444,ALFA-CTP59
ID11,11,0.9518067037468482,ALFA-CTP59
ID12,12,0.9601259106615238,ALFA-CTP59
ID13,13,0.96100013228848,ALFA-CTP59
ID14,14,0.9432919844261326,ALFA-CTP59
ID15,15,0.9430218003509848,ALFA-CTP59
ID16,16,0.9088211720701164,ALFA-CTP59
ID17,17,0.8929635823938628,ALFA-CTP59
ID18,18,0.9360481535244004,ALFA-CTP59
ID19,19,0.8930177516809309,ALFA-CTP59
ID20,20,0.8886809847179271,ALFA-CTP59
ID21,21,0.87603212520604,ALFA-CTP59
ID22,22,0.8180772366174671,ALFA-CTP59
ID23,23,0.8876419855733054,ALFA-CTP59
ID24,24,0.8787955993396054,ALFA-CTP59
ID25,25,0.8745693299333337,ALFA-CTP59
ID26,26,0.8497389103844774,ALFA-CTP59
ID27,27,0.8988381312311914,ALFA-CTP59
ID28,28,0.8976899524045784,ALFA-CTP59
ID29,29,0.9185114748834282,ALFA-CTP59
