ID,ns,score,E.C.
ID0,0,0.999998740597145,WT-SOTROVIMAB
ID1,1,0.9775928864929756,WT-SOTROVIMAB
ID2,2,0.9802173750546442,WT-SOTROVIMAB
ID3,3,0.970832705194108,WT-SOTROVIMAB
ID4,4,0.9609601658728552,WT-SOTROVIMAB
ID5,5,0.971356415620643,WT-SOTROVIMAB
ID6,6,0.9642075734609667,WT-SOTROVIMAB
ID7,7,0.9724001681558592,WT-SOTROVIMAB
ID8,8,0.9844270825347776,WT-SOTROVIMAB
ID9,9,0.9661083989392844,WT-SOTROVIMAB
ID10,10,0.9630808122733944,WT-SOTROVIMAB
ID11,11,0.9505975634034572,WT-SOTROVIMAB
ID12,12,0.955789488263764,WT-SOTROVIMAB
ID13,13,0.9590752582790348,WT-SOTROVIMAB
ID14,14,0.973386572199532,WT-SOTROVIMAB
ID15,15,0.9698749481176486,WT-SOTROVIMAB
ID16,16,0.965109528593235,WT-SOTROVIMAB
ID17,17,0.9707514524592816,WT-SOTROVIMAB
ID18,18,0.9735574935861516,WT-SOTROVIMAB
ID19,19,0.9705654133793468,WT-SOTROVIMAB
ID20,20,0.9610455078245698,WT-SOTROVIMAB
ID21,21,0.9736417141322364,WT-SOTROVIMAB
ID22,22,0.97112819618003,WT-SOTROVIMAB
ID23,23,0.9676189552696438,WT-SOTROVIMAB
ID24,24,0.9733667724204906,WT-SOTROVIMAB
ID25,25,0.9660770658318452,WT-SOTROVIMAB
ID26,26,0.9742542438445272,WT-SOTROVIMAB
ID27,27,0.9684622796154244,WT-SOTROVIMAB
ID28,28,0.9596365213636652,WT-SOTROVIMAB
ID29,29,0.9603800203129206,WT-SOTROVIMAB
ID30,30,0.957325492249854,WT-SOTROVIMAB
ID31,31,0.9599497999025698,WT-SOTROVIMAB
ID32,32,0.965005177041208,WT-SOTROVIMAB
ID33,33,0.9603566839181508,WT-SOTROVIMAB
ID34,34,0.9675563927120358,WT-SOTROVIMAB
ID35,35,0.9821821913524316,WT-SOTROVIMAB
ID36,36,0.9619738424924836,WT-SOTROVIMAB
ID37,37,0.9578741790234528,WT-SOTROVIMAB
ID38,38,0.9765974098838088,WT-SOTROVIMAB
ID39,39,0.9515838602359126,WT-SOTROVIMAB
ID40,40,0.9387846175135226,WT-SOTROVIMAB
ID41,41,0.9124801108641482,WT-SOTROVIMAB
ID42,42,0.933679113879248,WT-SOTROVIMAB
ID43,43,0.9377405585727724,WT-SOTROVIMAB
ID44,44,0.8943984745012923,WT-SOTROVIMAB
ID45,45,0.9015040853106524,WT-SOTROVIMAB
ID46,46,0.924438387080936,WT-SOTROVIMAB
ID47,47,0.9492344715448788,WT-SOTROVIMAB
ID48,48,0.9447012045703944,WT-SOTROVIMAB
ID49,49,0.950370105568441,WT-SOTROVIMAB
ID50,50,0.9506617520734408,WT-SOTROVIMAB
ID51,51,0.9480241036197478,WT-SOTROVIMAB
ID52,52,0.9277458142341292,WT-SOTROVIMAB
ID53,53,0.9229778579203848,WT-SOTROVIMAB
ID54,54,0.9449481094776134,WT-SOTROVIMAB
ID55,55,0.9546888787856008,WT-SOTROVIMAB
ID56,56,0.9461173223125846,WT-SOTROVIMAB
ID57,57,0.9569851527030938,WT-SOTROVIMAB
ID58,58,0.9648152867000978,WT-SOTROVIMAB
ID59,59,0.945257983704662,WT-SOTROVIMAB
ID60,60,0.9538308332162462,WT-SOTROVIMAB
ID61,61,0.914757734525246,WT-SOTROVIMAB
ID62,62,0.8895515083113494,WT-SOTROVIMAB
ID63,63,0.8992362944779878,WT-SOTROVIMAB
ID64,64,0.8875453573504073,WT-SOTROVIMAB
ID65,65,0.8429016725906305,WT-SOTROVIMAB
ID66,66,0.8906168534602373,WT-SOTROVIMAB
ID67,67,0.8706688169090017,WT-SOTROVIMAB
ID68,68,0.8643479151946792,WT-SOTROVIMAB
ID69,69,0.8520064905754362,WT-SOTROVIMAB
ID70,70,0.9087379681062444,WT-SOTROVIMAB
ID71,71,0.9325688531386416,WT-SOTROVIMAB
ID72,72,0.8883207870678375,WT-SOTROVIMAB
ID73,73,0.91053928391814,WT-SOTROVIMAB
ID74,74,0.799287785973581,WT-SOTROVIMAB
ID75,75,0.888484633639456,WT-SOTROVIMAB
ID76,76,0.8839136418075816,WT-SOTROVIMAB
