ID,ns,score,E.C.
ID0,0,0.999998827849618,WT-AZD8895
ID1,1,0.9996557446525426,WT-AZD8895
ID2,2,0.9981195295297952,WT-AZD8895
ID3,3,0.9826321580275492,WT-AZD8895
ID4,4,0.9967993490282696,WT-AZD8895
ID5,5,0.9940355515900056,WT-AZD8895
ID6,6,0.9817605953239688,WT-AZD8895
ID7,7,0.997393488925939,WT-AZD8895
ID8,8,0.9962419982946872,WT-AZD8895
ID9,9,0.9884729777903698,WT-AZD8895
ID10,10,0.991957261396146,WT-AZD8895
ID11,11,0.9832136639927191,WT-AZD8895
ID12,12,0.9932003414666318,WT-AZD8895
ID13,13,0.9874700146660614,WT-AZD8895
ID14,14,0.9965966889675082,WT-AZD8895
ID15,15,0.9905502011825512,WT-AZD8895
ID16,16,0.9937960196444904,WT-AZD8895
ID17,17,0.9914509696784004,WT-AZD8895
ID18,18,0.9815752502417886,WT-AZD8895
ID19,19,0.9935508757993188,WT-AZD8895
ID20,20,0.9933290172818742,WT-AZD8895
ID21,21,0.9835148330708148,WT-AZD8895
ID22,22,0.991271270740456,WT-AZD8895
ID23,23,0.9886875341493204,WT-AZD8895
ID24,24,0.982635096177065,WT-AZD8895
ID25,25,0.9779250545201088,WT-AZD8895
ID26,26,0.9937066691772012,WT-AZD8895
ID27,27,0.992794262409612,WT-AZD8895
ID28,28,0.9920220777817396,WT-AZD8895
ID29,29,0.9883974902349296,WT-AZD8895
ID30,30,0.9933375349654224,WT-AZD8895
ID31,31,0.9897644253562666,WT-AZD8895
ID32,32,0.9896152401732556,WT-AZD8895
ID33,33,0.9850371561123872,WT-AZD8895
ID34,34,0.9838306733790296,WT-AZD8895
ID35,35,0.9720928225804591,WT-AZD8895
ID36,36,0.9794223158569638,WT-AZD8895
ID37,37,0.9843689206352902,WT-AZD8895
ID38,38,0.9863092537845736,WT-AZD8895
ID39,39,0.9714557235167508,WT-AZD8895
ID40,40,0.9723994016155972,WT-AZD8895
ID41,41,0.9881384221477362,WT-AZD8895
ID42,42,0.9835881419072688,WT-AZD8895
ID43,43,0.9856050868434568,WT-AZD8895
ID44,44,0.9789468931940404,WT-AZD8895
ID45,45,0.9289675258223404,WT-AZD8895
ID46,46,0.960549904311192,WT-AZD8895
ID47,47,0.969385742854119,WT-AZD8895
ID48,48,0.9822432141522496,WT-AZD8895
ID49,49,0.9750318331372524,WT-AZD8895
ID50,50,0.9889025816034056,WT-AZD8895
ID51,51,0.9782623696360662,WT-AZD8895
ID52,52,0.9851047545121698,WT-AZD8895
ID53,53,0.9865257693278072,WT-AZD8895
ID54,54,0.9818357023798342,WT-AZD8895
ID55,55,0.9660553123834432,WT-AZD8895
ID56,56,0.9904011495087148,WT-AZD8895
ID57,57,0.9807467012645564,WT-AZD8895
ID58,58,0.9784952799385664,WT-AZD8895
ID59,59,0.9675134320275722,WT-AZD8895
ID60,60,0.9799363076822803,WT-AZD8895
ID61,61,0.9894170868496954,WT-AZD8895
ID62,62,0.9792176359951372,WT-AZD8895
ID63,63,0.9669950110233329,WT-AZD8895
ID64,64,0.9780719731466984,WT-AZD8895
ID65,65,0.9836690919777906,WT-AZD8895
ID66,66,0.9857719306024618,WT-AZD8895
ID67,67,0.9781798836499128,WT-AZD8895
ID68,68,0.9683378011397682,WT-AZD8895
ID69,69,0.976720472257237,WT-AZD8895
ID70,70,0.9845205195130018,WT-AZD8895
ID71,71,0.9795706551138328,WT-AZD8895
ID72,72,0.976583191257025,WT-AZD8895
ID73,73,0.955056964841226,WT-AZD8895
ID74,74,0.9599542192174996,WT-AZD8895
ID75,75,0.9564074965417836,WT-AZD8895
ID76,76,0.9390273831601512,WT-AZD8895
ID77,77,0.9048149685253454,WT-AZD8895
ID78,78,0.8906879290419286,WT-AZD8895
ID79,79,0.915598913049654,WT-AZD8895
ID80,80,0.9475535523146508,WT-AZD8895
ID81,81,0.9617816995012468,WT-AZD8895
ID82,82,0.9306842061098832,WT-AZD8895
ID83,83,0.90767373006967,WT-AZD8895
ID84,84,0.9354970777554282,WT-AZD8895
ID85,85,0.912621801666466,WT-AZD8895
ID86,86,0.9097441942882956,WT-AZD8895
ID87,87,0.9482802443853297,WT-AZD8895
ID88,88,0.9402455477003738,WT-AZD8895
ID89,89,0.9483398745792654,WT-AZD8895
ID90,90,0.9503345087650974,WT-AZD8895
ID91,91,0.924895274308768,WT-AZD8895
ID92,92,0.9365598688008656,WT-AZD8895
